Question,Answer,Audio,Badge
Aang mastered the elements in which cartoon?,Avatar,,
Sony created which cassette music player brand?,Walkman,,
Sony released which portable CD player?,Discman,,
Microsoft released which failed MP3 player?,Zune,,
Who co-founded Apple with Steve Jobs?,Steve Wozniak,,
Which device was nicknamed the “CrackBerry”?,BlackBerry,,
Which blue video game character collects rings?,Sonic the Hedgehog,,
Which Nintendo plumber wears a red hat?,Mario,,
Which Sega console competed with PlayStation in the 90s?,Dreamcast,,
Which character is number 1 in the Pokémon Pokédex?,Bulbasaur,,
Who played Jack Sparrow in Pirates of the Caribbean?,Johnny Depp,,
Who played Shrek’s sidekick Donkey?,Eddie Murphy,,
Which 1994 Disney film featured Simba?,The Lion King,,
Which Pixar movie introduced Woody and Buzz?,Toy Story,,
Which singer was known as the “King of Pop”?,Michael Jackson,,
Which girl group sang “Wannabe”?,Spice Girls,,
Who sang “Oops!… I Did It Again”?,Britney Spears,,
Which Destiny’s Child singer went on to solo fame?,Beyoncé,,
Which MTV show hosted by Xibit refurbished old cars?,Pimp My Ride,,
Which MTV reality show followed Paris Hilton and Nicole Richie?,The Simple Life,,
Who created and hosted Punk’d on MTV?,Ashton Kutcher,,
Who was the yellow Teletubby?,Laa-Laa,,
Which purple Teletubby carried a handbag?,Tinky Winky,,
Which sitcom featured Uncle Jesse and Uncle Joey?,Full House,,
Which 90’s sitcom featured Will Smith as himself?,The Fresh Prince of Bel-Air,,
Which twin sisters starred in “Two of a Kind”?,Mary-Kate and Ashley,,
Which 1993 dinosaur movie was directed by Steven Spielberg?,Jurassic Park,,
Which band sang “Smells Like Teen Spirit”?,Nirvana,,
Which 90’s rapper was known as Slim Shady?,Eminem,,
"What Sunday moring kids TV show ""Gunged"" its contenstants?",What Now,,
Which Satuday morning kids TV show was hosted by a Penguin and morphed siblings?,Squirt,,
What animal is Pingu?,Penguin,,
Which cartoon dog solved mysteries with Shaggy?,Scooby-Doo,,
Which handheld console introduced Pokémon Gold and Silver?,Game Boy Color,,
Who voiced Woody in Toy Story?,Tom Hanks,,
What toy matchbox sized cars had bright orange racing tracks?,Hot Wheels,,
What collectible fast spinning toys battled in arenas?,Beyblades,,
Which Microsoft operating system launched in 1995?,Windows 95,,
What device made noise as you connected to the internet in the 90's?,Modem,,
What search engine’s mascot was a butler called Jeeves?,Ask Jeeves,,
What lunchbox snack consisted of kangaroo shaped biscuits and a dipping sauce?,Dunkaroos,,
What flat square disk stored 1.44MB of computer data?,Floppy Disk,,
What type of internet connection used the phone line and blocked calls?,Dial-up,,
What computer game came free on Windows and had coloured tiles with hidden mines?,Minesweeper,,
What was the name of the paperclip assistant in Microsoft Office?,Clippy,,
What hard fruit lollies were sold at the movies in a cardboard box until they were discontinued in 2008?,Tangy Fruits,,
"Which green minty chocolate lolly was discontinued in 2008, causing outrage?",Snifters,,
