question,answer
What do you call water that is gas?,Steam
What do you call rain that falls as white flakes?,Snow
What do you call moving air?,Wind
What do you call a bright flash in a storm?,Lightning
What do you call the sound that follows lightning?,Thunder
What do you call a place with lots of sand and little rain?,Desert
What do you call a place full of trees?,Forest
What do you call a high land with a pointy top?,Mountain
What do you call a small hill of sand at the beach?,Sand dune
What do you call a big body of salt water?,Ocean
What do you call a big body of fresh water?,Lake
What do you call a small stream of water?,Stream
What do you call water falling over a cliff?,Waterfall
What do you call a turn in a river?,Bend
What do you call land with water all around it?,Island
What do you call land that sticks out into water?,Peninsula
What do you call a map of the world shaped like a ball?,Globe
What do you call the fluffy white things in the sky?,Clouds
What do you call the biggest planet in our solar system?,Jupiter
What do you call the red planet?,Mars
What do you call the ringed planet?,Saturn
What do you call the path Earth takes around the Sun?,Orbit
What do you call a group of stars forming a picture?,Constellation
What do you call a star that we see shooting across the sky?,Meteor
What do you use to brush your hair?,Hairbrush
What do you use to cut your nails?,Nail clippers
What do you put on a toothbrush to clean your teeth?,Toothpaste
What do you wear to bed?,Pyjamas
What do you press to ring someone’s door?,Doorbell
What do you put rubbish in?,Bin
What do you use to sweep the floor?,Broom
What do you use to wipe the floor when wet cleaning?,Mop
What do you use to dry yourself after a shower?,Towel
What do you use to see in the dark?,Torch
What do you call a story that is true?,Non-fiction
What do you call a story that is made up?,Fiction
What do you call the coins and notes you use to buy things?,Money
What do you call the small case that holds your money and cards?,Wallet
